primitive variables; primitive Variablen
catch block; catch-Block
must accompany; muss begleiten/muss vorhanden sein
try Statement; try-Anweisung
all Statements; alle Anweisungen
executed; ausgeführt
even if; selbst wenn
middle; Mitte
throw an exception; eine Ausnahme auslösen
ordered; geordnet
from general to most specific; vom Allgemeinen zum Spezifischsten
infinite number of times; unendlich oft
Java method; Java-Methode
must; muss
declared; deklariert/definiert
access modifier; Zugriffsmodifikator
cannot; kann nicht
defined; definiert
within another method; innerhalb einer anderen Methode
accept a Parameter; einen Parameter akzeptieren
return a value; einen Wert zurückgeben
static final; static final
which two; welche zwei
valid; gültig
line 2; Zeile 2
Display; anzeigen
asked; gebeten
develop; entwickeln
Java program; Java-Programm
prints; druckt/gibt aus
Elements; Elemente
in reverse order; in umgekehrter Reihenfolge
looping Statement; Schleifenanweisung
meet the requirement; die Anforderung erfüllen
enhanced for; erweiterte for-Schleife
standard for; Standard-for-Schleife
results in; führt zu
insert; einfügen
line n1; Zeile n1
successfully; erfolgreich
what is the result; Was ist das Ergebnis
pen; Stift
pencil; Bleistift
erasers; Radiergummis
paper; Papier
Java reserved words; reservierte Java-Schlüsselwörter
used to; verwendet, um
implement; implementieren
Statements; Aussagen
Java Runtime Environment (JRE); Java-Laufzeitumgebung (JRE)
responsible for; verantwortlich für
garbage Collection; Speicherbereinigung
interprets; interpretiert
Bytecode; Bytecode
stored in; gespeichert in
.class file; .class-Datei
JDK; Java Development Kit (JDK)
Java APIs; Java-Programmierschnittstellen (APIs)
install; installieren
to compile; um zu kompilieren
.java file; .java-Datei
two Features; zwei Merkmale/Eigenschaften
Java; Java
architecture dependent; architekturabhängig
single threaded; einthreadig
robust; robust
which code Fragment; welches Codefragment
can be inserted; kann eingefügt werden
at line n1; in Zeile n1
to enable the code; um den Code zu ermöglichen
to compile; zu kompilieren
what is the result; Was ist das Ergebnis
selected; ausgewählt
null flavor; null-Geschmack
chocolate flavor; Schokoladengeschmack
at run time; zur Laufzeit
thank you; danke
microprocessor board; Mikroprozessor-Platine
such as; wie zum Beispiel
wired to Control; verdrahtet, um zu steuern
drone; Drohne
which Edition; welche Edition
geared towards; ausgerichtet auf
use of; Nutzung von
simple; einfache
closed Systems; geschlossene Systeme
constrained memory requirements; begrenzte Speicheranforderungen
Java Micro Edition; Java Micro Edition
Java Standard Edition with a Compact Profile; Java Standard Edition mit einem kompakten Profil
Java Enterprise Edition; Java Enterprise Edition
Java SE Embedded; Java SE Embedded
when inserted; wenn eingefügt
enables; ermöglicht
the code; den Code
to print one; eins auszugeben
which Statement; welche Aussage
is true; ist wahr
about a mutator method; über eine Mutator-Methode
replaces; ersetzt
Returns; gibt zurück
mutated instance members; veränderte Instanzvariablen
must be declared; muss deklariert werden
private; privat
to assign data; um Daten zuzuweisen
to instance members; an Instanzvariablen
Two ; zwei
Valid ; gültig
Data types ; Datentypen
Operands ; Operanden
Addition ; Addition
Operator ; Operator
What is the result? ; Was ist das Ergebnis?
Question ; Frage
Answer ; Antwort
Code ; Code
Fails to compile ; Kann nicht kompiliert werden
To make it compile ; Um es zu kompilieren
Insert ; Einfügen
At line ; In Zeile
Default ; Standard
Luxury ; Luxus
Prints ; Gibt aus
At which ; An welcher
Line ; Zeile
Compilation error ; Kompilierungsfehler
Occur ; Auftreten
Which ; Welche
Modifications ; Änderungen
Independently ; Unabhängig
Enable ; Ermöglichen
File ; Datei
Compile ; Kompilieren
Which statement ; Welche Aussage
About ; Über
Main method ; Main-Methode
Non-static ; Nicht-statisch
Parameter ; Parameter
Type ; Typ
Defined ; Definiert
Non-public class ; Nicht-öffentliche Klasse
Invoked ; Aufgerufen
By its name ; Mit ihrem Namen
Which statement ; Welche Anweisung
When inserted ; Wenn eingefügt
At line n1 ; In Zeile n1
Enables ; Ermöglicht
To print ; Auszugeben
Identify ; Identifiziere
Three ; Drei
Advantages ; Vorteile
Object-oriented programming ; Objektorientierte Programmierung
Separation ; Trennung
State ; Zustand
Behavior ; Verhalten
Modularity ; Modularität
Information sharing ; Informationsaustausch
Code reuse ; Wiederverwendbarkeit von Code
Information hiding ; Informationsverbergung
Memory address ; Speicheradresse
Hexadecimal number format ; Hexadezimalzahlformat
Format ; Format
Components ; Komponenten
Class declarations ; Klassen-Deklarationen
Include ; Beinhalten
Instance methods ; Instanzmethoden
Interfaces ; Schnittstellen
Implemented by ; Implementiert von
Public modifier ; Public-Modifier (öffentlicher Modifikator)
Program ; Programm
Compiles ; Kompiliert
Nothing is printed ; Nichts wird ausgegeben
Increasing number ; Steigende Zahl
Printed ; Ausgegeben
Times ; Mal
Error ; Fehler
Occurs ; Tritt auf
During compilation ; Während der Kompilierung
which modification; welche Änderung
enables the code; ermöglicht dem Code
to print true; true auszugeben
at line n2; in Zeile n2
override; überschreiben
from the Object class; aus der Object-Klasse
hashCode method; hashCode-Methode
to print true:false; true:false auszugeben
if; wenn
memoryAvailable; verfügbarer Speicher
imageSize; Bildgröße
return true; true zurückgeben
return false; false zurückgeben
else; sonst
ternary Operator; ternärer Operator (? :)
the PlumCake.java file; die Datei PlumCake.java
to print; auszugeben
unknown tree is planted; „unbekannter Baum wird gepflanzt“
Banana tree is planted; „Bananenbaum wird gepflanzt“
provides; stellt bereit
libraries; Bibliotheken
Java virtual machine; Java-virtuelle Maschine
other components; andere Komponenten
necessary; notwendig
to run applets and applications; um Applets und Anwendungen auszuführen
redistributed; weitergegeben
with applications; mit Anwendungen
to make them free-standing; um sie eigenständig zu machen
Java Execution Environment (JEE); Java-Ausführungsumgebung (JEE)
Just-In-Time Compiler (JIT); Just-in-Time-Compiler (JIT)
Java Language Specification (JLS); Java-Sprachspezifikation (JLS)
you have created; du hast erstellt
a simple Java program; ein einfaches Java-Programm
in a file called hello.java; in einer Datei namens hello.java
with the following code; mit folgendem Code
which command; welcher Befehl
to compile this program; um dieses Programm zu kompilieren
converting it into Bytecodes; es in Bytecode umzuwandeln
platform-independent instructions; plattformunabhängige Anweisungen
for the Java VM; für die Java-VM (virtuelle Maschine)
you executed; du hast ausgeführt
produced a file; eine Datei erzeugt
called ExamPrep.class; namens ExamPrep.class
in the same Directory; im gleichen Verzeichnis
which command can you use; welchen Befehl kannst du verwenden
to execute the program; um das Programm auszuführen
and see the output of; und die Ausgabe von ... zu sehen
about the java.lang package; über das java.lang-Paket
choose the correct answer; wähle die richtige Antwort
provides classes; stellt Klassen bereit
fundamental to the design; grundlegend für das Design
like Object, Class, and primitive wrapper classes; wie Object, Class und primitive Wrapper-Klassen
Boolean, Integer, and Float; Boolean, Integer und Float
enable Java programs; ermöglichen Java-Programmen
localization of text; Lokalisierung von Text
for multi-language support; für Mehrsprachenunterstützung
none of these statements are true; keine dieser Aussagen ist wahr
you are working on a Java Project; du arbeitest an einem Java-Projekt
see the following line of code within a function; siehst die folgende Codezeile innerhalb einer Funktion
what does the keyword final do; was bewirkt das Schlüsselwort final
a compile-time error will occur; ein Fehler zur Kompilierungszeit tritt auf
another line of code attempts to assign a value; eine andere Codezeile versucht, einen Wert zuzuweisen
to the rate variable; der rate-Variable
a compile-time warning will occur; eine Warnung zur Kompilierungszeit tritt auf
a runtime error will occur; ein Fehler zur Laufzeit tritt auf
a runtime warning will occur; eine Warnung zur Laufzeit tritt auf
Looping statements ; Schleifenanweisungen
Execute ; Ausführen
Repeatedly ; Wiederholt
Specified condition ; Angegebene Bedingung
Thread ; Thread (Ausführungsstrang in der Programmierung)
Improve ; Verbessern
Performance ; Leistung
JVM (Java Virtual Machine) ; Java Virtual Machine
Limit ; Begrenzen
Syntax error ; Syntaxfehler
Semicolon ; Semikolon 
Run ; Ausführen
Command ; Befehl
Fail ; Scheitern
Expected ; Erwartet
Complete without an error ; Ohne Fehler abgeschlossen
Runtime exception ; Laufzeitfehler
Will print ; Wird ausgeben
Object-oriented ; Objektorientiert
Principle ; Prinzip
Encapsulation ; Kapselung
Accessor method (getter) ; Zugriffsmethode (Getter)
Allows you to read ; Ermöglicht das Lesen
Value ; Wert
Field ; Feld (oder Attribut einer Klasse)
Method ; Methode
Added ; Hinzugefügt
Customer class ; Kundenklasse
Term ; Begriff
Overloading methods ; Methodenüberladung
Means ; Bedeutet
Correct answer ; Richtige Antwort
Replace ; Ersetzen
Implementation ; Implementierung
Base class ; Basisklasse
Too many lines of code ; Zu viele Codezeilen
Break it down ; Aufteilen
Within a class ; Innerhalb einer Klasse
Same name ; Gleicher Name
Return data type ; Rückgabedatentyp
Parameter list ; Parameterliste
Statements ; Aussagen
Static methods ; Statische Methoden
Choose ; Wählen
Correct answers ; Richtige Antworten
Class name ; Klassenname
Instance ; Instanz
Create ; Erstellen
Call ; Aufrufen
Directly ; Direkt
This keyword ; Schlüsselwort this
Refer to ; Verweisen auf
Member variables ; Mitgliedsvariablen
Must ; Müssen
Declared ; Deklariert
Public ; Öffentlich

